CodeINSEE,Code postal,fra,bre
29034,29410,Le Cloître-Saint-Thégonnec,Ar C'hloastr-Plourin
29035,29870,Coat-Méal,Koz-Meal
29036,29530,Collorec,Koloreg
29037,29120,Combrit,Kombrid
29038,29450,Commana,Kommanna
29039,29900,Concarneau,Konk-Kerne
29040,29217,Le Conquet,Konk-Leon
29041,29370,Coray,Kore
29042,29160,Crozon,Kraozon
29043,29460,Daoulas,Daoulaz
29044,29150,Dinéault,Dineol
29045,29460,Dirinon,Dirinonn
29046,29100,Douarnenez,Douarnenez
29047,29860,Le Drennec,An Dreneg
29048,29510,Edern,Edern
29049,29370,Elliant,Eliant
29051,29500,Ergué-Gabéric,An Erge-Vras
29053,29580,Le Faou,Ar Faou
29054,29690,La Feuillée,Ar Fouilhez
29055,29260,Le Folgoët,Ar Folgoad
29056,29800,La Forest-Landerneau,Ar Forest-Landerne
29057,29940,La Forêt-Fouesnant,Ar Forest-Fouenant
29058,29170,Fouesnant,Fouenant
29059,29610,Garlan,Garlann
29060,29950,Gouesnach,Gouenac'h
29061,29850,Gouesnou,Gouenoù
29062,29190,Gouézec,Gouezeg
29063,29770,Goulien,Goulien
29064,29890,Goulven,Goulc'hen
29065,29710,Gourlizon,Gourlizon
29066,29180,Guengat,Gwengad
29067,29650,Guerlesquin,Gwerliskin
29068,29410,Guiclan,Gwiglann
29069,29820,Guilers,Gwiler-Leon
29070,29710,Guiler-sur-Goyen,Gwiler-Kerne
29071,29300,Guilligomarc'h,Gwelegouarc'h
29072,29730,Le Guilvinec,Ar Gelveneg
29073,29620,Guimaëc,Gwimaeg
29074,29400,Guimiliau,Gwimilio
29075,29490,Guipavas,Gwipavaz
29077,29249,Guissény,Gwiseni
29078,29460,Hanvec,Hañveg
29079,29670,Henvic,Henvig
29080,29460,Hôpital-Camfrout,An Ospital
29081,29690,Huelgoat,An Uhelgoad
29082,29253,Île-de-Batz,Enez-Vaz
29083,29990,Île-de-Sein,Enez-Sun
29084,29259,Île-Molène,Molenez
29085,29980,Île-Tudy,Enez-Tudi
29086,29460,Irvillac,Irvilhag
29087,29100,Le Juch,Ar Yeuc'h
29089,29270,Kergloff,Kerglof
29090,29100,Kerlaz,Kerlaz
29091,29890,Kerlouan,Kerlouan
29093,29260,Kernilis,Kerniliz
29094,29260,Kernouës,Kernouez
29095,29860,Kersaint-Plabennec,Kersent-Plabenneg
29097,29400,Lampaul-Guimiliau,Lambaol-Gwimilio
29098,29810,Lampaul-Plouarzel,Lambaol-Blouarzhel
29099,29830,Lampaul-Ploudalmézeau,Lambaol-Gwitalmeze
29100,29260,Lanarvily,Lannarvili
29101,29870,Landéda,Landeda
29102,29530,Landeleau,Landelo
29103,29800,Landerneau,Landerne
29104,29560,Landévennec,Landevenneg
29105,29400,Landivisiau,Landivizio
29106,29510,Landrévarzec,Landrevarzeg
29107,29510,Landudal,Landudal
29108,29710,Landudec,Landudeg
29109,29840,Landunvez,Landunvez
29110,29510,Langolen,Langolen
29111,29430,Lanhouarneau,Lanhouarne
29112,29840,Lanildut,Lannildud
29113,29620,Lanmeur,Lanneur
29114,29640,Lannéanou,Lanneanoù
29115,29190,Lannédern,Lannedern
29116,29400,Lanneuffret,Lanneured
29117,29870,Lannilis,Lanniliz
29119,29290,Lanrivoaré,Lañriware
29120,29160,Lanvéoc,Lañveog
29122,29520,Laz,Laz
29123,29190,Lennon,Lennon
29124,29260,Lesneven,Lesneven
29125,29390,Leuhan,Leuc'han
29126,29260,Loc-Brévalaire,Loprevaler
29128,29400,Loc-Eguiner,Logeginer-Plouziri
29130,29280,Locmaria-Plouzané,Lokmaria-Plouzane
29131,29400,Locmélar,Lokmelar
29132,29670,Locquénolé,Lokenole
29133,29241,Locquirec,Lokireg
29134,29180,Locronan,Lokorn
29135,29750,Loctudy,Loktudi
29136,29310,Locunolé,Lokunole
29137,29460,Logonna-Daoulas,Logonna-Daoulaz
29139,29590,Lopérec,Lopereg
29140,29470,Loperhet,Loperc'hed
29141,29530,Loqueffret,Lokeored
29142,29190,Lothey,Lotei
29143,29790,Mahalon,Mahalon
29144,29800,La Martyre,Ar Merzher(-Salaun)
29145,29790,Confort-Meilars,Koñforzh-Meilar
29146,29140,Melgven,Mêlwenn
29147,29300,Mellac,Mellag
29148,29420,Mespaul,Mespaol
29150,29350,Moëlan-sur-Mer,Molan
29151,29600,Morlaix,Montroulez
29152,29270,Motreff,Motrev
29153,29920,Névez,Nevez
29155,29242,Ouessant,Eusa
29156,29800,Pencran,Penn-ar-C'hrann
29158,29760,Penmarc'h,Penmarc'h
29159,29710,Peumerit,Purid
29160,29860,Plabennec,Plabenneg
29161,29170,Pleuven,Pluwenn
29162,29190,Pleyben,Pleiben
29163,29410,Pleyber-Christ,Pleiber-Krist
29165,29740,Plobannalec-Lesconil,Pornaleg-Leskonil
29166,29550,Ploéven,Ploeven
29167,29710,Plogastel-Saint-Germain,Plogastell-Sant-Jermen
29168,29770,Plogoff,Plougoñ
29169,29180,Plogonnec,Plogoneg
29170,29700,Plomelin,Ploveilh
29171,29120,Plomeur,Ploveur
29172,29550,Plomodiern,Ploudiern
29173,29710,Plonéis,Ploneiz
29174,29720,Plonéour-Lanvern,Ploneour-Lanwern
29175,29530,Plonévez-du-Faou,Plonevez-ar-Faou
29176,29550,Plonévez-Porzay,Plonevez-Porzhe
29177,29810,Plouarzel,Plouarzhel
29178,29830,Ploudalmézeau,Gwitalmeze
29179,29260,Ploudaniel,Plouzeniel
29180,29800,Ploudiry,Plouziri
29181,29800,Plouédern,Plouedern
29182,29620,Plouégat-Guérand,Plegad-Gwerann
29183,29650,Plouégat-Moysan,Plegad-Moezan
29184,29420,Plouénan,Plouenan
29185,29430,Plouescat,Ploueskad
29186,29252,Plouezoc'h,Plouezoc'h
29187,29440,Plougar,Gwikar
29188,29630,Plougasnou,Plouganoù
29189,29470,Plougastel-Daoulas,Plougastell-Daoulaz
29190,29217,Plougonvelin,Plougonvelen
29191,29640,Plougonven,Plougonven
29192,29250,Plougoulm,Plougouloum
29193,29400,Plougourvest,Gwikourvest
29195,29880,Plouguerneau,Plougerne
29196,29830,Plouguin,Plougin
29197,29780,Plouhinec,Ploeneg
29198,29260,Plouider,Plouider
29201,29810,Ploumoguer,Plonger
29202,29410,Plounéour-Ménez,Plouneour-Menez
29204,29400,Plounéventer,Gwineventer
29205,29270,Plounévézel,Plonevell
29206,29430,Plounévez-Lochrist,Gwinevez
29207,29600,Plourin-lès-Morlaix,Plourin-Montroulez
29208,29830,Plourin,Plourin-Gwitalmeze
29209,29860,Plouvien,Plouvien
29210,29420,Plouvorn,Plouvorn
29211,29690,Plouyé,Plouie
29212,29280,Plouzané,Plouzane
29213,29440,Plouzévédé,Gwitevede
29214,29720,Plovan,Plovan
29215,29710,Plozévet,Plozeved
29216,29700,Pluguffan,Pluguen
29217,29930,Pont-Aven,Pont-Aven
29218,29790,Pont-Croix,Pontekroaz
29220,29120,Pont-L'Abbé,Pont-'n-Abad
29221,29840,Porspoder,Porspoder
29222,29150,Port-Launay,Meilh-ar-Wern
29224,29100,Pouldergat,Pouldregad
29225,29710,Pouldreuzic,Pouldreuzig
29226,29100,Poullan-sur-Mer,Poullann
29228,29770,Primelin,Prevel
29229,29180,Quéménéven,Kemeneven
29230,29310,Querrien,Kerien
29232,29000,Quimper,Kemper
29233,29300,Quimperlé,Kemperle
29234,29300,Rédené,Redene
29235,29480,Le Relecq-Kerhuon,Ar Releg-Kerhuon
29236,29340,Riec-sur-Bélon,Rieg
29237,29800,La Roche-Maurice,Ar Roc'h-Morvan
29238,29570,Roscanvel,Roskañvel
29239,29680,Roscoff,Rosko
29240,29580,Rosnoën,Rosloc'hen
29241,29140,Rosporden,Rosporden
29243,29150,Saint-Coulitz,Sant-Kouled
29244,29440,Saint-Derrien,Sant-Derc'hen
29245,29800,Saint-Divy,Sant-Divi
29246,29460,Saint-Eloy,Sant-Alar
29247,29170,Saint-Evarzec,Sant-Evarzeg
29248,29260,Saint-Frégant,Sant-Fregan
29249,29520,Saint-Goazec,Sant-Wazeg
29250,29270,Saint-Hernin,Sant-Hern
29251,29630,Saint-Jean-du-Doigt,Sant-Yann-ar-Biz
29252,29120,Saint-Jean-Trolimon,Sant-Yann-Drolimon
29254,29600,Saint-Martin-des-Champs,Sant-Martin-war-ar-Maez
29255,29260,Saint-Méen,Sant-Neven
29256,29550,Saint-Nic,Sant-Vig
29257,29830,Saint-Pabu,Sant-Pabu
29259,29250,Saint-Pol-de-Léon,Kastell-Paol
29260,29290,Saint-Renan,Lokournan
29261,29190,Saint-Rivoal,Sant-Riwal
29262,29400,Saint-Sauveur,An Dre-Nevez
29263,29590,Saint-Ségal,Sant-Segal
29264,29400,Saint-Servais,Sant-Servez(-Landivizio)
29265,29600,Sainte-Sève,Sant-Seo
29267,29520,Saint-Thois,Santoz
29268,29800,Saint-Thonan,Sant-Tonan
29269,29380,Saint-Thurien,Sant-Turian
29270,29800,Saint-Urbain,Lannurvan
29271,29440,Saint-Vougay,Sant-Nouga
29272,29140,Saint-Yvi,Sant-Ivi
29273,29250,Santec,Santeg
29274,29390,Scaër,Skaer
29275,29640,Scrignac,Skrigneg
29276,29250,Sibiril,Sibirill
29277,29450,Sizun,Sizun
29278,29540,Spézet,Speied
29279,29670,Taulé,Taole
